IP,PORT
185.198.188.55,8080
106.104.148.208,80
62.23.15.92,3128
165.227.173.87,45019
114.39.110.154,8080
186.195.90.16,8080
189.52.154.213,3128
103.115.255.28,80
195.209.131.19,46372
46.35.249.189,41419
103.80.61.79,8080
187.243.240.54,8080
5.9.104.170,80
46.209.63.177,3128
149.100.165.85,8080
181.129.43.3,8080
185.18.212.227,3128
94.130.179.24,8009
193.56.255.131,3128
89.249.67.57,3128
161.202.226.194,80
5.252.161.48,8080
34.203.142.175,80
195.158.3.117,3128
101.108.115.79,8080
103.55.38.171,3128
117.222.167.202,8080
158.69.171.234,80
46.4.96.137,3128
88.198.50.103,8080
154.16.202.22,8080
167.71.5.83,8080
88.198.24.108,8080
176.9.75.42,8080
78.47.16.54,80
176.9.119.170,8080
89.36.195.238,35328
202.141.233.166,48995
103.215.177.231,80
54.159.195.75,80
176.192.8.206,39422
104.196.28.54,8080
85.234.126.107,55555
103.221.254.102,48146
117.103.5.186,44825
136.232.209.70,47423
104.45.128.122,80
217.172.122.4,8080
119.82.253.123,36169
104.238.81.186,56227
115.178.103.226,55443
195.154.173.28,80
47.244.50.194,8081
175.138.188.97,80
37.1.63.10,80
110.74.199.16,63141
159.65.171.69,80
34.87.161.90,80
103.121.215.208,3127
34.218.177.123,80
190.145.200.126,53281
103.11.106.70,8181
5.189.133.231,80
45.228.48.4,53281
1.179.148.9,55636
213.108.5.226,3128
74.143.245.221,80
14.99.225.212,80
36.89.193.169,49612
213.6.136.150,8080
14.99.225.208,80
41.75.4.208,53281
1.20.97.181,55285
200.116.198.222,45571
51.158.180.179,8811
182.253.115.66,57733
180.250.12.10,80
103.115.253.189,80
144.217.101.245,3129
51.158.119.88,8811
51.75.147.44,3128
13.127.59.158,80
185.198.188.48,8080
172.105.40.232,80
157.230.103.189,36366
136.243.254.196,80
217.172.122.5,8080
52.43.61.135,80
103.115.255.158,80
185.198.188.50,8080
23.111.72.225,80
13.112.200.28,80
162.243.244.206,80
130.226.140.40,80
136.233.215.137,80
208.163.39.218,53281
14.97.2.107,80
193.56.255.179,3128
89.45.4.138,3128
54.156.164.61,80
51.158.165.18,8811
89.221.223.234,80
149.255.36.145,3128
188.168.56.82,55443
213.105.29.14,3128
182.16.171.42,43188
113.161.207.99,60626
46.175.70.69,44239
116.0.3.140,8080
14.192.31.17,50838
103.86.155.102,55443
154.117.176.102,23500
24.172.82.94,53281
181.129.183.19,53281
103.250.157.43,6666
103.253.27.108,80
3.25.29.231,3128
150.129.148.88,35101
185.34.17.248,58137
212.77.138.161,41258
51.75.147.41,3128
139.99.105.5,80
103.212.92.225,38005
89.189.181.161,55855
45.9.229.28,3128
200.73.129.128,8080
51.75.147.43,3128
170.244.68.106,8080
46.21.153.16,3128
86.57.237.53,3128
47.242.19.241,8081
177.200.66.193,8080
176.56.107.204,35186
37.120.192.154,8080
94.253.15.25,37885
192.109.165.108,80
64.4.94.129,80
178.128.37.176,80
192.109.165.221,80
118.174.232.239,39258
191.100.20.14,8080
117.198.97.220,80
192.109.165.58,80
185.189.112.157,3128
213.134.208.90,3128
191.101.39.118,80
103.115.253.47,80
193.239.86.247,3128
203.202.245.58,80
103.78.254.78,80
164.132.112.237,80
103.115.255.65,80
103.134.168.180,80
103.115.255.201,80
43.242.39.144,51062
193.239.86.137,3128
77.94.112.234,32222
14.97.2.105,80
191.101.39.185,80
47.75.90.57,80
103.134.168.81,80
103.115.253.177,80
103.19.198.86,80
103.109.58.54,8080
185.198.188.53,8080
102.129.249.120,8080
191.96.42.80,8080
103.115.253.7,80
103.146.17.97,80
103.115.253.40,80
185.236.202.168,3128
37.120.222.132,3128
65.160.224.144,80
15.207.33.236,80
178.128.144.28,3128
139.162.41.219,8889
202.77.120.38,57965
46.173.105.151,41258
216.113.27.151,80
95.137.240.30,60030
58.147.170.114,8085
193.149.225.228,80
200.35.56.161,35945
182.23.79.162,39902
122.248.45.35,53281
194.135.75.74,55716
192.109.165.129,80
52.69.19.32,80
213.6.227.38,45730
180.250.101.146,8080
89.221.223.204,80
132.145.18.53,80
103.152.5.80,8080
150.109.32.166,80
139.162.228.157,80
116.254.100.165,46675
191.101.39.157,80
103.13.132.206,55443
191.101.39.105,80
79.115.245.227,8080
208.80.28.208,8080
34.101.171.117,80
154.72.197.106,42113
173.212.202.65,80
196.15.133.177,30930
51.75.147.35,3128
185.186.70.15,41258
191.101.39.135,80
191.101.39.218,80
192.109.165.114,80
192.109.165.124,80
191.101.39.238,80
36.89.229.97,59707
136.233.215.136,80
152.67.24.187,80
103.134.168.154,80
103.115.253.191,80
14.99.225.209,80
14.99.225.213,80
49.204.79.81,80
104.236.33.114,3128
192.109.165.139,80
174.138.92.249,80
51.158.186.242,8811
51.158.172.165,8811
201.190.184.22,46740
51.158.68.133,8811
103.134.168.16,80
103.209.65.12,6666
185.198.188.54,8080
213.192.25.241,57414
3.9.163.219,80
20.50.107.111,80
1.2.169.49,36335
191.101.39.24,80
1.0.182.144,8080
89.24.76.185,32842
136.233.215.142,80
115.75.1.184,8118
45.127.246.98,8080
45.167.124.1,999
14.102.152.157,8080
89.175.188.58,56263
93.170.15.177,41848
181.192.20.34,8080
138.185.190.46,8080
188.252.14.7,3128
27.72.244.228,8080
90.189.116.152,3128
188.120.232.181,8118
96.9.77.71,8080
217.15.195.141,59792
103.123.64.19,8888
176.56.107.213,50177
142.93.151.180,3128
198.50.163.192,3129
46.175.186.24,8081
89.20.102.147,2580
41.217.242.11,8080
193.56.255.180,3128
193.149.225.224,80
191.101.39.154,80
165.22.108.115,8080
52.149.152.236,80
200.62.96.71,80
193.239.86.248,3128
191.101.39.81,80
41.217.219.53,31398
185.189.112.133,3128
193.56.255.181,3128
191.101.39.54,80
202.45.146.210,80
136.233.215.139,80
178.128.83.219,8899
124.107.182.196,8118
79.110.52.252,3128
185.198.188.49,8080
185.236.203.208,3128
193.29.104.90,3128
149.255.36.150,3128
14.97.2.104,80
80.48.119.28,8080
203.112.223.126,8080
110.139.171.8,8080
91.214.31.234,8080
188.128.81.74,8080
206.189.208.213,3128
185.200.37.106,8080
190.217.108.147,999
202.182.57.10,8080
217.19.209.253,8080
83.167.73.151,59871
195.98.79.117,8080
45.250.226.14,3128
201.149.100.32,8085
200.29.109.112,44749
195.138.82.198,40301
103.240.77.98,30093
81.12.119.189,8080
195.53.49.11,3128
